ID,Ejercicio,Ramo,Siniestro,Fecha de ocurrencia,Fecha de derivacion,Suma asegurada,Ajuste,Accesorios,Tope de suma asegurada,Agencia,Marca de la unidad,Modelo de la unidad,Modelo / Año,Indemnizacion,MT indem - MT aseg,Fecha de pago
3636,99,4,59983,8/26/2021,11/16/2021 12:00:00 a. m.,1167100,20,0,1400520,MORON,VOLKSWAGEN,VW VENTO 2.5 R5 170 HP ADVANCE TIP,2009,"1.240.000,00",72900,11/24/2021 12:00:00 a. m.
3637,99,4,60025,8/26/2021,8/31/2021 12:00:00 a. m.,2200000,20,0,2640000,MORON,RENAULT,RENAULT CAPTUR 2.0 INTENS,2017,"2.600.000,00",400000,10/27/2021 12:00:00 a. m.
3638,99,4,60033,8/22/2021,8/31/2021 12:00:00 a. m.,693000,20,100000,951600,MORON,CHEVROLET,CHEVROLET ASTRA II GL 2.0 4 PTAS.,2007,"780.000,00",87000,11/3/2021 12:00:00 a. m.
3639,99,4,60113,8/27/2021,9/15/2021 12:00:00 a. m.,929500,20,0,1115400,QUILMES,RENAULT,RENAULT KANGOO 2 1.6 AUTHENTIQUE 2 PLC PLUS,2009,"950.000,00",20500,10/27/2021 12:00:00 a. m.
3640,99,4,60431,8/27/2021,9/10/2021 12:00:00 a. m.,748000,20,60000,969600,MARTINEZ,FORD,FORD ECO SPORT 2.0 XLS,2008,"950.000,00",202000,10/1/2021 12:00:00 a. m.
3641,99,4,60491,8/26/2021,8/31/2021 12:00:00 a. m.,1177000,10,0,1294700,MORON,VOLKSWAGEN,VW BORA 1.8 T. HIGHLINE L/07 CU,2011,"1.270.000,00",93000,12/20/2021 12:00:00 a. m.
3642,99,4,60551,8/26/2021,8/30/2021 12:00:00 a. m.,794200,20,0,953040,QUILMES,VOLKSWAGEN,VW VOYAGE 1.6 4 P. COMFORTLINE PLUS,2011,"794.200,00",0,9/22/2021 12:00:00 a. m.
3643,99,4,60570,8/27/2021,9/20/2021 12:00:00 a. m.,610500,20,200000,972600,SAN MARTIN,PEUGEOT,PEUGEOT 206 XS 1.6 3 PTAS. L/N PREMIUM NAV,2007,"752.500,00",142000,9/20/2021 12:00:00 a. m.
3644,99,4,60617,8/26/2021,8/30/2021 12:00:00 a. m.,2871000,10,0,3158100,BUENOS AIRES,VOLKSWAGEN,VW AMAROK 2.0 TD 4X4 DC TRENDLINE 180 HP,2014,"2.950.000,00",79000,9/28/2021 12:00:00 a. m.
3645,99,4,60663,8/27/2021,8/30/2021 12:00:00 a. m.,803000,20,0,963600,AVELLANEDA,AUDI,AUDI A4 1.8 T L/01,2004,"963.600,00",160600,9/16/2021 12:00:00 a. m.
